timestamp,Temperature,Humidity,Carbon Monoxide,Nitrogen Dioxide,Dust (PM2.5),Dust (PM10)
2019-09-13 16,17.746557499069596,61.04131001116487,6.100111648678824,19.39703758838854,31.512839598064755,44.056568663937476
2019-09-13 17,16.83528102392877,67.2838063439065,5.83889816360601,19.388491930996107,37.35698386199221,51.96188091263217
2019-09-13 18,16.9221140472879,66.68623087621697,6.09624478442281,19.394731571627258,26.527955493741306,37.096801112656465
2019-09-13 19,16.422018348623855,63.66527661940506,5.652210175145955,19.389716430358632,22.11759799833194,31.031693077564636
2019-09-13 20,15.732147818838566,66.31536537927202,5.86774103917755,19.385365379272017,22.424840233398164,31.339538760766878
2019-09-13 21,15.89633129516398,67.78126737076154,5.83296275708727,19.37344913841023,25.56225680933852,35.68204558087827
2019-09-13 22,15.744645340751044,69.88511821974966,6.006675938803895,19.380717663421418,28.418915159944365,39.52767732962448
2019-09-13 23,15.245136186770427,71.7153974430239,6.5225125069483045,19.377576431350747,37.28154530294608,51.884658143413006
2019-09-14 00,15.477184195882026,73.83082915971063,6.582637729549249,19.38809682804674,36.500278241513634,50.83889816360601
2019-09-14 01,15.111419838844123,75.55709919422061,6.130869686023895,19.38988330091692,32.916643512086694,45.77465962767435
2019-09-14 02,14.948817802503477,76.99360222531294,6.28817802503477,19.382361613351875,37.18887343532684,51.9221140472879
2019-09-14 03,15.280311457174639,76.76056729699667,5.978587319243604,19.387689098998887,36.27614015572859,50.62235817575083
2019-09-14 04,15.047235343150875,76.6499027507641,6.321756043345374,19.402659071964433,35.72631286468464,50.362322867463185
2019-09-17 07,18.194007490636704,59.95355805243446,4.976404494382022,19.415400749063668,27.94007490636704,39.22846441947566
2019-09-17 08,22.1976647206005,45.60689463441757,5.4398109535724215,19.421840422574366,23.496246872393662,32.725048651654156
2019-09-17 09,21.86488740617181,43.77064220183486,4.4300806227411735,19.431437308868503,20.34278565471226,28.509591326105088
2019-09-17 10,21.291995490417136,44.66516347237881,5.669109357384442,19.426200676437432,21.616967305524238,30.38782412626832
2019-09-17 11,21.15123714206283,45.33055323881012,5.042535446205171,19.423675284959685,16.34639977759244,22.42340839588546
2019-09-17 12,21.820534223706176,42.64079020589872,5.1905954368391765,19.41779632721202,15.718141346688926,21.699220923761825
2019-09-17 13,21.22060470324748,43.912374020156776,5.472844344904815,19.423390257558793,15.998600223964166,22.31942889137738
2019-09-17 14,21.38108640585421,42.341401632423306,5.365325077399381,19.41008443568815,14.34168308471714,20.299465240641712
2019-09-17 15,20.847025495750707,44.046458923512745,4.952407932011331,19.40915297450425,16.513031161473087,23.189518413597735
2019-09-17 16,19.81979977753059,46.92269187986652,5.1635150166852055,19.414566184649612,18.697719688542826,26.190767519466075
2019-09-17 17,18.652584769316288,53.61450806003335,4.9816564758199,19.405761534185658,26.17065036131184,36.59005002779322
2019-09-17 18,17.7100361412288,58.73672504865166,5.842090631081457,19.406688907422854,39.535168195718654,55.09480122324159
2019-09-17 19,17.313594662218517,63.246872393661384,4.456769530164026,19.39608284681679,39.50097303308313,54.81734778982485
2019-09-17 20,17.205448985265498,66.24631637475674,5.567139282735613,19.40278565471226,46.283013622463166,64.39783152627189
2019-09-17 21,17.045897079276774,65.45146036161336,6.357719054242002,19.40806675938804,58.66175243393602,81.67538247566064
2019-09-17 22,16.692329071706503,65.85908838243469,5.998888271261812,19.408843802112283,34.74680377987771,48.52501389660923
2019-09-17 23,16.31051752921536,67.6833611574847,5.312465219810796,19.3926265998887,34.11713967723984,47.69922092376183
2019-09-18 00,16.40261911395932,67.70353859013653,5.55753691836166,19.39476177208136,30.564502646976873,42.73279465032042
2019-09-18 01,15.48592922819727,69.78517692950683,5.98857620507105,19.398657007522985,34.85344106993592,48.68152688771246
2019-09-18 02,15.595105672969966,70.41295884315906,5.458843159065628,19.400809232480533,21.202447163515018,29.3642936596218
2019-09-18 03,15.110271480548558,71.08424293310944,5.048138818919675,19.392700811642875,20.277357962496502,28.34788692975091
2019-09-18 04,14.532518065591995,73.59866592551417,5.79266259032796,19.38885214007782,21.39355197331851,29.870205669816563
2019-09-18 05,14.391655076495132,74.33741307371349,7.064534075104311,19.399140472879,29.02670375521558,40.33657858136301
2019-09-18 06,18.18348623853211,60.82179594106199,6.152905198776758,19.398448707256048,29.79482902418682,41.65304420350292
2019-09-18 07,21.81994998610725,49.5037510419561,4.861628230063906,19.41491247568769,23.39372047791053,32.759099749930535
2019-09-18 08,23.512520868113523,40.78658875904285,4.4660545353366725,19.42305230940456,19.398998330550917,27.267390094602113
2019-09-18 09,23.06451612903226,38.6384872080089,4.155172413793103,19.41566740823137,21.5353170189099,29.932703003337043
2019-09-18 10,22.09568845618915,42.031988873435324,4.5908205841446454,19.41757997218359,14.174408901251738,19.941585535465926
2019-09-18 11,21.340744858254585,42.92384658143413,4.496386881600889,19.408268482490275,11.931906614785992,16.73290717065036
2019-09-18 12,21.157543762156156,42.99416504584607,5.202556265629341,19.41582106140595,11.06724090025007,15.275909974993054
2019-09-18 13,20.718376424798443,46.01584653878232,5.206283013622463,19.41306088407006,12.018904642757853,16.88101195440645
2019-09-18 14,20.729091414281744,47.43956654626285,5.3295359822172825,19.407088080022227,13.336482356210059,18.849680466796332
2019-09-18 15,18.90522512506948,53.751528627015006,5.076987215119511,19.41793774319066,12.845469705391885,17.83046136742635
2019-09-18 16,19.09683739154772,53.49230338650994,5.38762944304506,19.38968373915477,13.13937867338371,18.467394346487545
2019-09-18 17,18.470522803114573,57.05283648498332,5.790044493882092,19.3871106785317,16.41991101223582,22.740823136818687
